iter	RMSE
305	2.724429818
306	2.721555818
307	2.719600939
308	2.716356031
309	2.712664615
310	2.711473964
311	2.708686405
312	2.706638977
313	2.705121589
314	2.70268537
315	2.700173084
316	2.696792167
317	2.695316058
318	2.692322652
319	2.688446539
320	2.685905611
321	2.684480143
322	2.683355927
323	2.681564821
324	2.679720176
325	2.67872184
326	2.676727168
327	2.673305984
328	2.670530083
329	2.666476169
330	2.663813001
331	2.662097702
332	2.660910099
333	2.656576724
334	2.655762431
335	2.654556437
336	2.653127685
337	2.651966361
338	2.651294095
339	2.650063943
340	2.645814781
341	2.643618029
342	2.641666534
343	2.639088577
344	2.636761757
345	2.636094387
346	2.633707104
347	2.632134224
348	2.631183712
349	2.626665876
350	2.62547821
351	2.624900041
352	2.622360228
353	2.622093167
354	2.618881497
355	2.61633827
356	2.615611573
357	2.613800267
358	2.612757334
359	2.610527943
360	2.608932597
361	2.604906618
362	2.604185529
363	2.602727314
364	2.601219067
365	2.598072646
366	2.594944461
367	2.593332168
368	2.59297797
369	2.589569313
370	2.587645608
371	2.586133817
372	2.583664854
373	2.582154861
374	2.58176788
375	2.5795128
376	2.577137313
377	2.57468859
378	2.571707404
379	2.569444582
380	2.569262154
381	2.566882061
382	2.565985392
383	2.562630849
384	2.559509245
385	2.557120076
386	2.553777393
387	2.550971821
388	2.548571321
389	2.547796058
390	2.54506204
391	2.543189739
392	2.541514804
393	2.541165679
394	2.537494758
395	2.536026886
396	2.534863592
397	2.531746643
398	2.52911683
399	2.528350987
400	2.525114441
401	2.522893679
402	2.520893201
403	2.519211518
404	2.516236071
405	2.512910277
406	2.511658592
407	2.509639579
408	2.50766237
409	2.505296805
410	2.50358312
411	2.503046115
412	2.501218347
413	2.500526524
414	2.500325185
415	2.498193278
416	2.496380243
417	2.494176839
418	2.490510962
419	2.489478717
420	2.488630913
421	2.485549678
422	2.482875436
423	2.479939528
424	2.479613112
425	2.478041907
426	2.475558009
427	2.473074102
428	2.469916267
429	2.468300439
430	2.465911964
431	2.464718777
432	2.464176284
433	2.462675098
434	2.459511458
435	2.455870503
436	2.454318943
437	2.4515451
438	2.449942131
439	2.448623996
440	2.444435572
441	2.442125956
442	2.439354985
443	2.43699854
444	2.435230213
445	2.432810025
446	2.430407359
447	2.428843457
448	2.426512201
449	2.425566438
450	2.422642564
451	2.421702491
452	2.417958525
453	2.416404619
454	2.413973202
455	2.411437744
456	2.410071833
457	2.407369056
458	2.405060175
459	2.404195698
460	2.403187181
461	2.400153775
462	2.399394217
463	2.397228395
464	2.395527551
465	2.393791498
466	2.390917334
467	2.387964114
468	2.385188302
469	2.384337294
470	2.382285937
471	2.380610959
472	2.379947475
473	2.37816202
474	2.375458649
475	2.373351347
476	2.371308563
477	2.370788328
478	2.370519271
479	2.369385698
480	2.367165822
481	2.365678966
482	2.362755626
483	2.359657045
484	2.357349549
485	2.356073938
486	2.355158723
487	2.352502845
488	2.350972605
489	2.348877554
490	2.348092856
491	2.345085867
492	2.343286386
493	2.340171448
494	2.338467114
495	2.336376821
496	2.335803952
497	2.334781938
498	2.331788605
499	2.330775689
500	2.329582087
501	2.329327698
502	2.328131516
503	2.326757321
504	2.32512064
505	2.323544866
506	2.322369428
507	2.320892132
508	2.319525486
509	2.318194271
510	2.315807924
511	2.313894462
512	2.31119346
513	2.309972753
514	2.307894512
515	2.306282022
516	2.304035251
517	2.303534515
518	2.301111073
519	2.300076182
520	2.299543003
521	2.299223335
522	2.298985791
523	2.297803324
524	2.296039071
525	2.294474761
526	2.29233717
527	2.291813556
528	2.289799389
529	2.287052574
530	2.285788525
531	2.283917135
532	2.282880701
533	2.281025144
534	2.27811312
535	2.277035465
536	2.275972791
537	2.273704687
538	2.272666135
539	2.27240613
540	2.271292457
541	2.268206477
542	2.265917292
543	2.264407754
544	2.263202242
545	2.260330723
546	2.260080309
547	2.259393194
548	2.258836544
549	2.257351649
550	2.255705542
551	2.252854444
552	2.250461939
553	2.249194027
554	2.247928811
555	2.247683164
556	2.247358531
557	2.246771294
558	2.244617329
559	2.243220888
560	2.241453335
561	2.240226347
562	2.238700845
563	2.237271767
564	2.236164608
565	2.234380144
566	2.232950192
567	2.229660237
568	2.227726249
569	2.22713545
570	2.225359752
571	2.22450598
572	2.221917592
573	2.219360617
574	2.217134824
575	2.21573763
576	2.213298709
577	2.21131541
578	2.209661705
579	2.207563738
580	2.207314664
581	2.205311267
582	2.203763482
583	2.202752691
584	2.200587107
585	2.199265874
586	2.197861033
587	2.196438222
588	2.196087028
589	2.194139546
590	2.191652895
591	2.189903898
592	2.188161429
593	2.186622443
594	2.183631282
595	2.183212528
596	2.180410726
597	2.178871209
598	2.178398612
599	2.176087092
600	2.175102892
601	2.173273739
602	2.172434692
603	2.170336857
604	2.169467824
605	2.167314074
606	2.167069873
607	2.166279679
608	2.165428842
609	2.162614869
610	2.160524176
611	2.159374565
612	2.157008843
613	2.155555066
614	2.154385195
615	2.152138348
616	2.150994633
617	2.149542674
618	2.14739913
619	2.14562864
620	2.144085561
621	2.143057723
622	2.141005152
623	2.140726461
624	2.137872524
625	2.13564061
626	2.134164215
627	2.133126514
628	2.131114284
629	2.128931085
630	2.127559914
631	2.12676962
632	2.126617212
633	2.124229374
634	2.1237279
635	2.122678017
636	2.121955059
637	2.12036899
638	2.118496074
639	2.116927349
640	2.116014876
641	2.115443359
642	2.113396675
643	2.113057496
644	2.111657837
645	2.109253593
646	2.106104532
647	2.105415873
648	2.103150196
649	2.101353073
650	2.100483749
651	2.097838351
652	2.096279072
653	2.094075834
654	2.09262368
655	2.091524093
656	2.090591462
657	2.08963347
658	2.088416513
659	2.088292386
660	2.086279577
661	2.084975193
662	2.084510326
663	2.082334159
664	2.081163571
665	2.079686754
666	2.078171621
667	2.076529159
668	2.075311473
669	2.074717866
670	2.072290545
671	2.071555564
672	2.070071157
673	2.069869971
674	2.069031498
675	2.06818635
676	2.066367732
677	2.065256608
678	2.064285089
679	2.061893999
680	2.061031445
681	2.059065874
682	2.05822285
683	2.05805084
684	2.057467418
685	2.057236731
686	2.05489282
687	2.053044915
688	2.051655025
689	2.050937832
690	2.049664286
691	2.049451484
692	2.047582698
693	2.046927572
694	2.046677646
695	2.044768566
696	2.043614811
697	2.042934725
698	2.04217647
699	2.041996958
700	2.041247525
701	2.039667082
702	2.037883648
703	2.0372293
704	2.037116198
705	2.03534056
706	2.03354681
707	2.032392568
708	2.030561435
709	2.030440934
710	2.029158968
711	2.028774165
712	2.027606957
713	2.026262395
714	2.023805605
715	2.022586932
716	2.020834071
717	2.020619548
718	2.02044895
719	2.019238959
720	2.018308453
721	2.017769377
722	2.016448156
723	2.014460441
724	2.013174575
725	2.012795775
726	2.011456008
727	2.009378501
728	2.007953692
729	2.007261749
730	2.005479175
731	2.003796109
732	2.003084862
733	2.00076168
734	1.998825685
735	1.997641487
736	1.995699351
737	1.995329953
738	1.994568694
739	1.992801078
740	1.992584652
741	1.991743349
742	1.990302569
743	1.988366233
744	1.987179743
745	1.987008297
746	1.985857475
747	1.985227089
748	1.983640295
749	1.981925405
750	1.980951206
751	1.980349166
752	1.979364322
753	1.978466418
754	1.978081402
755	1.976017549
756	1.974738639
757	1.973497046
758	1.972443658
759	1.97211247
760	1.971499506
761	1.970564161
762	1.970338257
763	1.968786394
764	1.966918961
765	1.965440839
766	1.96411723
767	1.963224273
768	1.961609552
769	1.960021358
770	1.958115661
771	1.955374376
772	1.954574085
773	1.952372978
774	1.952011303
775	1.950183759
776	1.947861007
777	1.947679116
778	1.946432341
779	1.94488164
780	1.944396034
781	1.943523091
782	1.941924504
783	1.940870994
784	1.940393552
785	1.938890908
786	1.93626027
787	1.935472377
788	1.934553241
789	1.933334277
790	1.93191051
791	1.931090894
792	1.929471262
793	1.929330174
794	1.928322054
795	1.927566666
796	1.927114039
797	1.925715344
798	1.92492628
799	1.924531948
800	1.923010076
801	1.922095524
802	1.92029392
803	1.919493537
804	1.917228672
805	1.915991768
806	1.915405782
807	1.91480621
808	1.91403798
809	1.912496002
810	1.911662321
811	1.910295099
812	1.909075143
813	1.908743931
814	1.907448514
815	1.906840653
816	1.905175748
817	1.904123273
818	1.902314179
819	1.901522553
820	1.90066917
821	1.898715081
822	1.897858337
823	1.897067873
824	1.896252248
825	1.895609008
826	1.895431701
827	1.895321172
828	1.894359255
829	1.893069523
830	1.89250787
831	1.891057315
832	1.890662289
833	1.889358638
834	1.887850996
835	1.887124584
836	1.886530211
837	1.8847714
838	1.884590732
839	1.882607267
840	1.881268777
841	1.880620152
842	1.880379872
843	1.879778415
844	1.877928019
845	1.876873375
846	1.876732074
847	1.875838708
848	1.874390803
849	1.874197422
850	1.873469077
851	1.872617905
852	1.871367308
853	1.869823944
854	1.86859165
855	1.868470277
856	1.867469926
857	1.866036112
858	1.865584628
859	1.863992404
860	1.862807098
861	1.862739257
862	1.862535414
863	1.861761441
864	1.860310835
865	1.858855502
866	1.856879539
867	1.855171334
868	1.854775075
869	1.854533537
870	1.852959007
871	1.852435033
872	1.851532653
873	1.850991605
874	1.850523598
875	1.849854341
876	1.848942526
877	1.847188888
878	1.846717179
879	1.844846403
880	1.844268347
881	1.84332502
882	1.842236099
883	1.841049632
884	1.840375188
885	1.838796072
886	1.83782415
887	1.837083322
888	1.835010121
889	1.833332684
890	1.833169515
891	1.831801178
892	1.83070947
893	1.829367404
894	1.82806455
895	1.827490309
896	1.826366474
897	1.825048342
898	1.824507124
899	1.823225812
900	1.822689627
901	1.820782275
902	1.81936339
903	1.818235688
904	1.816826383
905	1.815341311
906	1.813845844
907	1.81141941
908	1.810896566
909	1.809120355
910	1.80776464
911	1.807153549
912	1.805854799
913	1.805729452
914	1.80535723
915	1.805034667
916	1.80396594
917	1.80297744
918	1.801555683
919	1.800907732
920	1.80067531
921	1.800534783
922	1.799377675
923	1.799312848
924	1.798433149
925	1.798330132
926	1.798193103
927	1.797134083
928	1.795954619
929	1.794679187
930	1.79346046
931	1.79233726
932	1.791869001
933	1.791059038
934	1.790102974
935	1.788698373
936	1.787799529
937	1.786705254
938	1.786401147
939	1.785250405
940	1.783912053
941	1.782305037
942	1.780737397
943	1.779792837
944	1.778842773
945	1.778374144
946	1.777913884
947	1.777335462
948	1.776245738
949	1.775127407
950	1.773857589
951	1.773784696
952	1.772542985
953	1.771668954
954	1.770480674
955	1.769880771
956	1.769399192
957	1.768164508
958	1.766824912
959	1.764814443
960	1.76331441
961	1.761860563
962	1.760521355
963	1.759314247
964	1.757319056
965	1.754827475
966	1.753620715
967	1.752309616
968	1.752255542
969	1.751512306
970	1.750656899
971	1.750500817
972	1.750437863
973	1.750361241
974	1.749440494
975	1.74883648
976	1.747466802
977	1.74679306
978	1.746636603
979	1.746113495
980	1.745420841
981	1.744543013
982	1.742998263
983	1.742028102
984	1.740254379
985	1.740084347
986	1.738910454
987	1.737469672
988	1.737008639
989	1.73694769
990	1.736786441
991	1.735621258
992	1.734525956
993	1.733605805
994	1.732688552
995	1.732489882
996	1.732340359
997	1.730916998
998	1.730097144
999	1.728737843
